,actual_label,prediction,abstract
2667,joe,donald,FACT: Romney’s only solution to lower gas prices is to drill for more oil—yet he opposes vehicle standards that will save money at the pump.
2725,joe,donald,January 2011: VP Biden travels with Gen. David Petraeus aboard a Chinook helicopter in Afghanistan. http://t.co/e3IVp4jU
2726,joe,donald,Real presidents lead. Reality TV presidents don’t. https://t.co/2lMwnRXLcG
2740,donald,joe,"Fact – the tighter the gun laws, the more violence. The criminals will always have guns."
2812,donald,joe,"Today I spoke with American physicians and nurses to thank them for their tireless work. Doctors and nurses are at the front lines of this war and are true American HEROES! With their help, America will WIN."
2866,joe,donald,"Mr. President, “Open everything now,” isn’t a strategy for success. It’s barely a slogan. 

It’s long past time for you to step up and do your job."
2897,joe,donald,"Dining local in Independence, Iowa: http://t.co/1vJByEqz"
2929,donald,joe,We have to bring back and cherish the middle class - once the backbone and true strength of the U.S.A. It can happen!
2994,joe,donald,VP in WI: “6 out of every 10 jobs in the next 10 years are going to require a degree or certificate beyond high school—we must be prepared.”
3068,joe,donald,"""My biggest problem with Donald Trump... is the way he treats people."" -VP Biden"
3070,joe,donald,"I'm grateful for everyone who found work in August and found that glimmer of hope — but there is real cause for concern in this morning's jobs report.

The pace of job gains in August was slower than in July. And significantly slower than May or June."
3213,donald,joe,We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared for our Veterans.
3411,joe,donald,Joe photo of the day: Provisioning an @OFA_FL field office in Orlando. http://t.co/QOoGIvG1
3519,joe,donald,"It’s great to see people so fired up at the President’s rallies today—I'm ready to go for the next six months, hope you are too. –Joe"
3520,donald,joe,Trump volunteers were out early today to offload cases of food and supplies for hard-hit Rockaways residents # Sandy
3603,donald,joe,"My prayers and condolences to the families of the victims of the terrible Florida shooting. No child, teacher or anyone else should ever feel unsafe in an American school."
3605,joe,donald,We can’t let Donald Trump destroy the U.S. Postal Service.
3643,joe,donald,"Brought by parents, these children had no choice in coming here. Now they'll be sent to countries they've never known. Cruel. Not America."
3691,donald,joe,"Today’s shooting in El Paso, Texas, was not only tragic, it was an act of cowardice. I know that I stand with everyone in this Country to condemn today’s hateful act. There are no reasons or excuses that will ever justify killing innocent people...."
3777,joe,donald,"Donald Trump says he prefers war heroes who ""weren't captured."" He attacks Gold Star families. Now he calls our generals “losers,"" “babies” and “dopes.""

He degrades the office he holds every day. https://t.co/mvLLdHCzRz"
3862,donald,joe,I have been consistent in my opposition to Common Core. Get rid of Common Core--- keep education local!
3953,donald,joe,I’ve sent a 10-wheeler filled with 358 master cases of food and supplies to my hometown of Queens today # TrumpCares
3960,donald,joe,"""Choose your own path: It doesn't have to be the path less traveled...What matters is that it's the right one for you."" - Vince Lombardi"
4045,donald,joe,"On International Women's Day, join me in honoring the critical role of women here in America & around the world."
4062,joe,donald,"President Trump is destroying American leadership and credibility abroad. As president, I'll rebuild a modern, agile U.S. Department of State—investing in and re-empowering the finest diplomatic corps in the world. https://t.co/90w0xT1012"
4166,joe,donald,Cheer on President Obama in Wednesday’s first debate at a supporter watch party in your neighborhood: http://t.co/WhoxtXhC
4310,joe,donald,Father-daughter campaigning in Florida: http://t.co/FBSdK1jF
4406,joe,donald,President Bill Clinton is explaining why we should vote Obama-Biden on Nov. 6. Watch it live: http://t.co/OtrOhNSl
4429,joe,donald,"Every few weeks when he needs a distraction from the latest charge of corruption in his staff — or the conviction of high ranking members of his administration — Donald Trump announces it’s “Infrastructure Week.”

He's never delivered. I know how to get it done."
4431,donald,joe,"80% of the RIOTERS in Minneapolis last night were from OUT OF STATE. They are harming businesses (especially African American small businesses), homes, and the community of good, hardworking Minneapolis residents who want peace, equality, and to provide for their families."
4455,donald,joe,...healthcare plan is on its way. Will have much lower premiums & deductibles while at the same time taking care of pre-existing conditions!
4566,donald,joe,"I knew Joe Paterno. When he heard what he heard, it just wasn't in his world--a different planet!"
4587,joe,donald,Congratulations to President Tsai and the people of Taiwan for another successful election. You are stronger because of your free and open society. The United States should continue strengthening our ties with Taiwan and other like-minded democracies. https://t.co/NAt6ldYpRj
4654,joe,donald,"Joe: ""We're not only fighting to keep jobs in this country, we're fighting to bring jobs back to this country."" http://t.co/oQXBjj1N"
4723,joe,donald,"In that moment, we weren't thinking about being Democrats or Republicans. We weren't thinking about a way to contort the nation's victory in favor of one political faction or another. We were, quite simply, Americans—joined together in our wonder, awe, and shared humanity."
4766,joe,donald,"There is no place for racism in America. Governor Northam has lost all moral authority and should resign immediately, Justin Fairfax is the leader Virginia needs now."
4786,joe,donald,#1010means good news for our economy. Commit to vote for candidates who will #RaiseTheWage: http://t.co/2XxEP1GE6u http://t.co/w7x8LqTydh
4850,joe,donald,"Making these revolutionary changes is going to take an incredible commitment at all levels, but I know we can meet this challenge.

Because this is what America does best—solving big problems, with big ideas. If you agree, please sign your name here: https://t.co/Fn5XTDtfQZ"
4865,donald,joe,"Only 88,000 jobs were added this past March. Prediction was 190,000. Businesses can’t expand with Obama Care & high taxes on horizon."
4946,joe,donald,Donald Trump is the definition of corruption.
4984,donald,joe,We must stop Common Core from controlling state & local curriculums. It is a federal grab of education. Keep education local!
4995,joe,donald,"Last year I had the privilege of walking down the streets my great-great grandfather once walked, in County Louth, Ireland. https://t.co/GsvB7DPCXk"
5006,joe,donald,On Romney: “He said 47% of the American people were ‘not willing to take responsibility for their own lives.’ Who does he think he is?”
5039,joe,donald,"Trump doesn’t get the basics. He thinks his tariffs are being paid by China. Any freshman econ student could tell you that the American people are paying his tariffs.

The cashiers at Target see what’s going on – they know more about economics than Trump. #TeamJoe"
5085,donald,joe,"Great news! American families will now be able to buy safer, more affordable, and environmentally friendly cars with our new SAFE VEHICLES RULE. Get rid of those old, unsafe clunkers. Build better and safer American cars and create American jobs. Buy American!"
5122,joe,donald,I led the successful fight in the 1980s to stop Jeff Sessions’ nomination for a federal judgeship. I hope the people of Alabama will stop him from rejoining the Senate next year.
5223,joe,donald,"Pitch in $10, get a car magnet—it’s that easy: http://t.co/XEfJ0uhp"
5282,joe,donald,Zbigniew Brzezinski's brilliant strategic mind enriched American foreign policy for decades--his distinctive voice will be greatly missed.
5301,joe,donald,"In January, Donald Trump claimed the coronavirus was “totally under control.”

In February, he said it would disappear.

Now, he’s saying it “could’ve been stopped pretty easily if we had known.”

Donald Trump knew. He failed to act. And now we’re paying the price."
5335,donald,joe,"....to State/Local Governments for lost revenues from COVID 19, much needed Infrastructure Investments for Bridges, Tunnels, Broadband, Tax Incentives for Restaurants, Entertainment, Sports, and Payroll Tax Cuts to increase Economic Growth."
5382,joe,donald,"Donald Trump ran for office saying he would represent the forgotten men and women of this country — and as soon as he got in office, he forgot about us."
5456,joe,donald,"As we move into the New Year, there's one thing I know: in 2020 we're going to beat Donald Trump and take back this country."
5496,donald,joe,Biden's statements on Medicare are very effective. Ryan must now come back and combat. # VPDebate
5544,joe,donald,".@realDonaldTrump, release your taxes or shut up about corruption. https://t.co/u3czWLj5ju"
5570,joe,donald,"My mom always said, ""Being Irish is about faith, family, and courage.""

Today, we celebrate the strong role Irish-Americans have played in our communities, the strength of the U.S.-Ireland relationship, and the ongoing values shared by our two nations. Happy St. Patrick's Day! https://t.co/iUwvpb4Zk8"
5576,joe,donald,"Four days ago, the President of the United States suggested that four elected members of Congress, all women of color, ought to ""go back"" to the countries ""from which they came."" And every day since he has repeated this ugly, racist refrain."
5597,joe,donald,Get the word out about what @BarackObama has done in less than 4 years—in under 2 minutes: http://t.co/G4LO8tHh
5600,donald,joe,We have a sacred duty to care for our vets and their families. Veterans deserve universal access to care anywhere and anytime!
5682,donald,joe,"Congress has agreed to provide $8 Billion to fight Coronavirus! This means @ CDCgov, @ HHSGov, and @ DHSgov will have the resources they need to Keep America Safe and keep the risk to workers and families very low. This is great news for our Health, our Economy, and our Nation!"
5710,joe,donald,"Under President Trump, the North Korean nuclear threat is getting worse, not better. As President, Joe Biden will coordinate closely with our allies and hold China accountable for not putting pressure on North Korea. He'll see Kim Jong Un for what he is — a ruthless tyrant."
5743,joe,donald,"Donald Trump sees the world from Park Avenue.

I see the world from where I grew up: Scranton, Pennsylvania."
5756,joe,donald,"This team never gave up. No matter the injuries, no matter the odds. They showed incredible heart. What a great win tonight, @Eagles. #FlyEaglesFly"
5785,donald,joe,"If Cory Booker is the future of the Democratic Party, they have no future! I know more about Cory than he knows about himself."
5883,joe,donald,"Campaign staff will run this account to keep you up to date on what the VP's up to, but you'll see occasional tweets from Joe himself, too."
5889,joe,donald,High five. http://t.co/kjrOTTWk2i http://t.co/EWbVAsXbsy
5953,donald,joe,"""To every action there is always opposed an equal reaction."" --Isaac Newton"
6034,donald,joe,Six days and counting until my offer to Barack Obama expires...
6038,donald,joe,"Today, my Administration provided HISTORIC levels of funding to improve school safety through STOP School Violence grants – a top priority for @ sandyhook. I am committed to keeping our children SAFE in their schools!"
6086,donald,joe,"@ Phil_Grech Your not free, you'll never be free. You'll be back (if you ever left) because you can't help yourself!"
6100,joe,donald,"The United States should be standing up for freedom and standing with the people of Hong Kong. Instead, Trump has said he's “standing with Xi Jinping.” That's weak. We need to be strong on values when it comes to China. That's what I'll do as president. https://t.co/O2o66tJFkY"
6134,joe,donald,The lack of coronavirus testing in the U.S. is a national disgrace. https://t.co/kD9cEFtAUR
6141,joe,donald,"The President held up a bible at St. John’s church yesterday. If he opened it instead of brandishing it, he could have learned something: 

That we are all called to love one another as we love ourselves. 

That’s hard work. But it’s the work of America."
6197,donald,joe,"....Today’s action will help ensure that all Americans learn the truth about the events that occurred, and the actions that were taken, during the last Presidential election and will restore confidence in our public institutions.” @ PressSec"
6297,donald,joe,....on the basis of their sexual orientation. My Administration has launched a global campaign to decriminalize homosexuality and invite all nations to join us in this effort!
6322,joe,donald,"OFA Campaign Manager Jim Messina on why @BarackObama ""clearly won tonight's debate"": http://t.co/cMTlxZug"
6330,donald,joe,"@ ForQ2 Are you making less than minimum wage, don't worry, the government will protect you. Afraid to give your real name? You should be."
6444,joe,donald,"President Obama bet on Ohio workers, and now manufacturing’s making a comeback—get the facts in this new report: http://t.co/JKZotQw4"
6458,joe,donald,"The honest truth is both elements are part of the American character. At our best, the American ideal wins out. But it’s never a rout. It’s always a fight. And the battle is never finished."
6499,joe,donald,The Obama administration’s sanctions against Iran are the most comprehensive that Iran has ever faced. http://t.co/nZ4OPZeB
6514,joe,donald,Some straight talk from Joe this morning: http://t.co/GsK7MK8Y
6518,joe,donald,"Give it a rest, man. https://t.co/KYtXBmJBk6"
6612,donald,joe,"""Never let the fear of striking out get in your way."" -- Babe Ruth"
6682,donald,joe,"The hard working men and women of @ UPS are working overtime to maintain our supply chain and deliver medical supplies to those in need. Your work is critical to the health of our nation, keep it up!"
6719,joe,donald,Donald Trump said he didn't want to tell the truth and create a panic. So he did nothing and created a disaster.
6734,donald,joe,"All of America is in mourning over the mass murder of Jewish Americans at the Tree of Life Synagogue in Pittsburgh. We pray for those who perished and their loved ones, and our hearts go out to the brave police officers who sustained serious injuries..."
6825,donald,joe,Need all on the UN Security Council to vote to renew the Joint Investigative Mechanism for Syria to ensure that Assad Regime does not commit mass murder with chemical weapons ever again.
6863,joe,donald,"Wishing everyone in the Orthodox Christian community a peaceful and joyful Easter celebration with friends, family and loved ones. God Bless."
6900,joe,donald,"I know Bernie well. He’s a good man, a great leader, and one of the most powerful voices for change in our country. And it’s hard to sum up his contributions to our politics in one, single tweet. So I won’t try to. https://t.co/Z6OkCDWFNm"
6972,joe,donald,Donald Trump should release his tax returns or shut up about corruption.
7048,donald,joe,“He who is not courageous enough to take risks will accomplish nothing in life.” - Muhammad Ali
7051,joe,donald,"We can’t allow the Good Friday Agreement that brought peace to Northern Ireland to become a casualty of Brexit.

Any trade deal between the U.S. and U.K. must be contingent upon respect for the Agreement and preventing the return of a hard border. Period. https://t.co/Ecu9jPrcHL"
7092,joe,donald,"Thank you to all of our incredible supporters, volunteers, and staff in New Hampshire! Your hard work and faith in our campaign mean the world to me. Now, we’re headed to Nevada, South Carolina, and beyond."
7213,joe,donald,"Thank you for a great weekend, South Carolina! https://t.co/YCsyW66KzG"
7216,joe,donald,"@AmandaLinton23 @templehospital Amanda, this is remarkable. Thank you for stepping up and supporting our front line heroes. I know the staff will greatly appreciate your donations."
7246,joe,donald,"Why are you so obsessed with me, Mr. President? https://t.co/BbAawEvQo6"
7262,joe,donald,"Roberto Clemente was an incredible baseball player. He was a barrier breaker and a humanitarian. As he rose to fame, he lifted the Black and Latino communities with him.

I may be a Phillies fan, but I’m always proud to honor the legacy of #21. https://t.co/ZWSfIBUD0p"
7345,joe,donald,"VP in Detroit yesterday: “Much of what they told you at their convention is simply, as they say in my old neighborhood, not on the level.”"
7363,joe,donald,“He’s not ready for prime time in terms of national security.”—Former Sec. of State Madeleine Albright on Mitt Romney: http://t.co/R49RAtxl
7386,joe,donald,VP in VA: “We're going to give a tax break to any company who unbolts their factory stuff in Singapore and brings it back to Danville.”
7523,joe,donald,"Listening to scientists is not a bad thing.

I can’t believe that has to be said."
7560,joe,donald,Checks &amp; balances? Chair of cmte investigating WH can't share info w/ WH. McCain is right: Need select committee!
7621,joe,donald,President Trump is bringing his secret one page agreement with Mexico to Iowa. The Iowans being crushed by his tariffs would like to see it.
7625,donald,joe,"On this Cuban Independence Day, we stand by the people of Cuba in their quest for freedom, democracy and prosperity. The Cuban regime must end its repression of Cubans & Venezuelans. The United States will not stand idly by as Cuba continues to subvert democracy in the Americas!"
7632,donald,joe,I have tremendous respect for women and the many roles they serve that are vital to the fabric of our society and our economy.
7648,joe,donald,"After three days, we have even more evidence of how President Trump's disastrous foreign policy has left the U.S. isolated. Rather than looking to America for vision, our closest democratic allies sought to manage and mitigate the damage Trump might do at this year's G-7."
7687,joe,donald,Make no mistake: Iran continues to be a bad actor that abuses human rights and supports terrorist activities throughout the region.
7710,joe,donald,Enough.
7793,joe,donald,"The Iran Deal put Iran's nuclear program in a box. Trump walked away from the deal, and now Iran is advancing its program. This is another reminder that Trump's manufactured crisis is making the U.S., the region, and our world less safe. https://t.co/KXD7Bdb5kU"
7903,joe,donald,I couldn’t be more excited to close out this election in Luzerne County PA on Sunday at a Get Out the Vote rally with my friends @Bob_Casey and @CartwrightPA. Join us: https://t.co/hwTVp2rwU3
7925,joe,donald,RT if you agree: Our economy grows from the middle out and the bottom up—not from the top down. http://t.co/1DdJfUj3
7938,joe,donald,We gotta make it clear: China must play by the rules. #DemDebate
8099,joe,donald,It’s always great to be back at the #ClyburnFishFry. Thank you to @ClyburnSC06 and everyone who came out for a great night! https://t.co/SMkY7XgZ7L
8185,joe,donald,"And do me a favor, make sure to select the train icon when you do. https://t.co/CMIaVb5BRX"
8232,joe,donald,3 reasons why President Obama should be re-elected: http://t.co/KtsjI5A3
8236,joe,donald,The presidency is about a lot more than tweeting from your golf cart. It requires taking on the ultimate responsibility for the biggest decisions in the world. Donald Trump simply wasn’t prepared for that. I promise you I will be.
8263,joe,donald,So great to visit the Ernest S. Sterling Student Life Center at Texas Southern University. Thanks for letting me join you for lunch. Go Tigers! https://t.co/1Rb7dCYEvs
8285,joe,donald,"""I hope you will accept this corsage and enjoy your prom as much as I did mine."" - The VP http://t.co/YuGLBpOPQj"
8383,donald,joe,... It is time to get out and rebuild our own nation.
8483,joe,donald,This is what “America First” looks like under President Trump: https://t.co/jSmJOeG13G
8484,joe,donald,Watch Gloria’s story—it’s powerful stuff: http://t.co/K5bHn04D
8501,joe,donald,Just imagine where we would be right now if we had a president who listened to the scientists.
8511,joe,donald,"Hillary: tonight, I’m reminded of one of your favorite sayings — rooted in the faith we both share: “Do all the good you can, for all the people you can, in all the ways you can, for as long as you can.”

Thanks for always living by that, and reminding us to do the same."
8528,joe,donald,"I am deeply concerned about the unjust detainment of Jose Daniel Ferrer, a voice for change in Cuba, by the Cuban government. Ferrer must be released at once."
8530,joe,donald,Today the Supreme Court refused to stop politicians rigging our democracy by writing election rules for their own benefit. It couldn’t have happened without Justices put there by Donald Trump and Republicans — another reason why Democrats must take back the White House in 2020.
8553,joe,donald,"Congratulations to the two women who led the way: @RepLonghurst and @HansenForSenate, as well as all of the lawmakers, activists, and citizens who made this happen."
8560,donald,joe,The Worker in America is doing better than ever before. Celebrate Labor Day!
8645,joe,donald,The brave citizens of Belarus are showing their voices will not be silenced by terror or torture. The U.S. should support Sviatlana Tsikhanouskaya's call for fair elections. Russia must be told not to interfere—this is not about geopolitics but the right to choose one's leaders.
8671,joe,donald,The subpoenas should go to witnesses with testimony to offer to Trump’s shaking down the Ukraine government — they should go to the White House.
8721,donald,joe,"""Increasing America’s debt weakens us domestically and internationally."" - US Senator @ BarackObama, 2007"
8740,joe,donald,"Don't wonder ""what if""—give Dinner with Barack a shot before this great campaign tradition comes to an end. http://t.co/56XISaZB"
8852,donald,joe,October has a 7% foreclosure increase last month. Is this @ BarackObama’s economic recovery?
9073,donald,joe,"To be in charge, you have to take responsibility, you have to instill confidence. It’s like being a conductor--set the tempo."
9132,joe,donald,"I can’t believe I have to say this, but please don’t drink bleach."
9260,joe,donald,"Think about what it takes for a Black person to love America. 

That is a deep love for this country that, for far too long, we have never recognized. https://t.co/vTEY156VTj"
9289,donald,joe,"....Today, @ FLOTUS and I encourage all Americans to cherish and honor the memory of those we have lost through acts of love and service. We will hold Parkland forever in our hearts."
9320,joe,donald,"VP: “Our President knows creating jobs here in America, keeping jobs here, and bringing jobs back to America—that's the job of a President.”"
9371,joe,donald,"It's good to be home. Hope to see you, @UDelaware, on The Green today at noon! #BidenInstitute #BlueHens #BidenIsBack"
9400,joe,donald,"This video is doctored — and a flagrant attempt to spread misinformation at the expense of a man who uses assistive technology. 

It should be removed. Now. https://t.co/Bnv5H2NhZT"
9419,donald,joe,"""@NishantAgg23: Donald Trump is the only hope for a crumbling American economy. Hope my American friends choose Trump"""
9442,joe,donald,"Call it a W. Thank you, Texas. https://t.co/iXFI1ys9wi"
9451,joe,donald,The VP enjoyed some frozen custard with locals in downtown Winston-Salem yesterday: http://t.co/M3GGpWkT
9462,joe,donald,"Sorry America, the correct answer is Snickers. https://t.co/nJbSTf7C0d"
9474,donald,joe,Obama’s promise to build an international coalition against ISIS is already broken. No one trusts him at home or abroad.
9486,joe,donald,"$90 billion in clean energy funding. A huge reduction in the cost of solar so that we'll never build another coal plant again. 



I did that. Bernie watched. #DemDebate"
9511,joe,donald,"Congrats &amp; good luck to my former staffer Dr. Tony Allen, incoming Provost of @DelStateUniv! A great fit for a passionate public servant."
9520,donald,joe,We support @ JeanineAnez in Bolivia as she works to ensure a peaceful democratic transition through free elections. We denounce the ongoing violence and those that provoke it both in Bolivia and from afar. The U.S. stands with the people of the region for peace and democracy!
9650,joe,donald,We have to elect @HillaryClinton in 5 days. But she has got to have a Congress to work with. Vote down the line.
9691,donald,joe,"National Pearl Harbor Remembrance Day - “A day that will live in infamy!” December 7, 1941"
9740,joe,donald,"I joined @PeterHamby on @Snapchat’s Good Luck America to discuss everything from memes to stimulus oversight. Head to https://t.co/JKWnILB7To to watch the interview today, Thursday, and Friday."
9759,joe,donald,Let’s give Hillary a Senate she can work with. https://t.co/tk0KI3cGeE
9830,joe,donald,Thanks to everyone who pitched in to help this campaign start strong in October: http://t.co/TEo7qX79
9887,donald,joe,The safest way to preserve Medicare is with a robust and vibrant economy. We should lower corporate and capital gain taxes immediately.
9894,joe,donald,"Yesterday, Trump tried to attack me at his campaign rally by saying I abandoned Pennsylvania.

I’ve never forgotten where I came from. My family did have to leave Pennsylvania when I was 10 — we moved to Delaware where my Dad found a job that could provide for our family."
9901,joe,donald,".@realDonaldTrump, you want to talk about corruption? I’ve released 21 years of my tax returns — release yours or shut up. https://t.co/5JFDINCSeQ"
9939,joe,donald,"To our nation's fallen troops: we thank you and will never forget. To their families: remember, you are never alone."
9942,joe,donald,"The longer Donald Trump is president, the more reckless he gets."
9960,donald,joe,I want to applaud the many protestors in Boston who are speaking out against bigotry and hate. Our country will soon come together as one!
9980,joe,donald,"Fired up, ready for Joe in Chesterfield, VA: http://t.co/fXptjksG"
10059,joe,donald,"Donald Trump keeps telling us if he was president, you'd feel safe.

Well, he is president — whether he knows it or not."
10125,joe,donald,Read Vice President Biden’s op-ed on the benefits of a strong U.S.-China relationship: http://t.co/eOCdagLc
10141,joe,donald,"Mr. President — If you’re so good at making deals, then why does your trade deal cost American workers so much pain while letting China off the hook for its biggest trade abuses? https://t.co/mL8a67CTAw"
10260,joe,donald,"JoAnne, the good news is the bad news: you won the contest, and you're coming to Houston with me. Grateful for JoAnne's support and that of our incredible supporters. https://t.co/MalsrJMocw"
10286,joe,donald,We’re going to get this virus under control and get your life back on track.
10332,joe,donald,"@GovernorBullock Thanks for the recommendation, @GovernorBullock! I’d love to try it next time I’m in Decorah."
10351,donald,joe,"....in America, community by community where we will eradicate AIDS in 10 years, program already started. American leadership has proven that together we can save lives."
10373,donald,joe,"It has been two years since the tragedy in Parkland. We will always mourn the innocent lives taken from us – 14 wonderful students and 3 terrific educators. Earlier this week, I met with families whose experiences from that horrible day still pierce the soul...."
10389,joe,donald,Donate $20 or whatever you can to stop the other side from buying and bullying its way to a win right at the end: http://t.co/ybjYH2Ek
10447,joe,donald,“This is how we could lose the election.” http://t.co/FFKkUg64
10453,joe,donald,50 days.
10469,joe,donald,The idea of Donald Trump attacking anyone’s integrity is a joke.
10512,joe,donald,"""Republicans talk about productivity. They haven't produced anything that generates economic growth so far. Not a joke."" -VP at @ChathamU"
10535,joe,donald,RT if you agree the U.S. doesn’t need an outsourcer-in-chief: http://t.co/snk3BM3b
10549,joe,donald,"""Barack knows the American dream because he's lived it."" Watch @MichelleObama's debut at the DNC last night: http://t.co/2nS29P5D"
10736,joe,donald,We have a president more interested in beating people at golf than beating COVID-19.
10896,joe,donald,"I will be in Phoenix tomorrow to pay tribute to my friend John. If you are in town and would like to honor his legacy of service, please come out to the route to say one last farewell. https://t.co/4vyEgFqO2a"
10945,joe,donald,"I have the great honor to announce that I’ve picked @KamalaHarris — a fearless fighter for the little guy, and one of the country’s finest public servants — as my running mate."
